target	filename	checksum_filename	url	checksum_url
linux/amd64	fd-v10.3.0-x86_64-unknown-linux-gnu.tar.gz		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-x86_64-unknown-linux-gnu.tar.gz	
linux/arm64	fd-v10.3.0-aarch64-unknown-linux-gnu.tar.gz		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-aarch64-unknown-linux-gnu.tar.gz	
linux-musl/amd64	fd-v10.3.0-x86_64-unknown-linux-musl.tar.gz		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-x86_64-unknown-linux-musl.tar.gz	
darwin/amd64	fd-v10.3.0-x86_64-apple-darwin.tar.gz		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-x86_64-apple-darwin.tar.gz	
darwin/arm64	fd-v10.3.0-aarch64-apple-darwin.tar.gz		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-aarch64-apple-darwin.tar.gz	
windows/amd64	fd-v10.3.0-x86_64-pc-windows-msvc.zip		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-x86_64-pc-windows-msvc.zip	
windows/arm64	fd-v10.3.0-aarch64-pc-windows-msvc.zip		https://github.com/sharkdp/fd/releases/download/v10.3.0/fd-v10.3.0-aarch64-pc-windows-msvc.zip	
